,No,Part,Trouble,Key_word
0,1,Tool magazine (Umbrella type),Noise for tool changing.,"magazine, type, Umbrella, noise, change, tool"
1,,Tool magazine (Umbrella type),Can't change the tool.,"magazine, tool, type, Umbrella, change"
2,,Tool magazine (Umbrella type),Tool number in chaos,"magazine, tool, type, Umbrella, number, chaos"
3,,Tool magazine (Umbrella type),Tool magazine keep rotation,"magazine, tool, type, Umbrella, keep, rotation"
4,,Tool magazine (Umbrella type),Tool magazine not drawing back.,"magazine, Umbrella, tool, type, draw, back"
5,2,Tool magazine (Arm type),Noise for tool changing,"magazine, arm, noise, tool, change, type"
6,,Tool magazine (Arm type),Can't change the tool,"magazine, arm, change, tool, type"
7,,Tool magazine (Arm type),Tool magazine not drawing back,"magazine, arm, tool, draw, back, type"
8,3,Axis Trouble ,over limited,"Axis, limit, over"
9,,Axis Trouble ,can't back to zero ,"axis, zero, back"
10,,Axis Trouble ,noise for axis ,"axis, noise"
11,4,Spindle trouble ,spindle noise,"spindle, noise"
12,5,coolant pump trouble ,can't drain,"coolant, pump, drain"
13,6,lubrication pump trouble ,lubrication pump trouble ,"lubrication, pump, trouble"
14,7,tool not inposition,tool magazine is not positioned and could not get the sensor signal ,"tool, position, sensor, signal, magazine"
15,8,tool number not found ,cannot find the tool number ,"tool, number, find"
16,9,tool pot not down ,tool collets cannot go down,"tool, pot, collets, down"
17,10,arm 90 error,arm 90 degree error,"arm, 90, error, degree"
18,11,tool not unclamp,tool unclamp ,"tool, unclamp"
19,12,arm 270 error,arm 270 degree error,"arm, 270, error, degree"
20,13,tool pot not up,tool collets cannot go upward,"tool, pot, collect, up, upward"
21,14,arm jog mode,arm jog mode error,"arm, jog, mode"
22,15,tool not clamp,tool is not clamp well,"tool, clamp"
23,16,arm home pos error,arm home point error,"arm, home, pos, point"
24,17,atc ls error,atc limit error,"atc, limit, error, ls"
25,18,t code = sp,tcode = spindle tool,"tcode, spindle, tool, sp"
26,19,door not close,door is not close ,"door, close"
27,20,4 axis clamp,the 4th axis is not clamp ,"4, axis, clamp"